DJ,Soundcloud Link,Soundcloud_User_ID_Link,Soundcloud_User_ID
NDRX,https://soundcloud.com/nod-rex,soundcloud://users:1640271,1640271
LYCHEE,https://soundcloud.com/lycheefrut,soundcloud://users:3165462,3165462
AKUA,https://soundcloud.com/akua_dj,soundcloud://users:19356723,19356723
YOUNG MALE,https://soundcloud.com/youngmale,soundcloud://users:7030417,7030417
X3BUTTERFLY,https://soundcloud.com/sorrellem,soundcloud://users:208960988,208960988
SHAUN J. WRIGHT,https://soundcloud.com/shaunjwright,soundcloud://users:17807782,17807782
SEKUCCI,https://soundcloud.com/sekucci,soundcloud://users:37050553,37050553
SCHACKE,https://soundcloud.com/schacke,soundcloud://users:2079408,2079408
PARTOK,https://soundcloud.com/partok,soundcloud://users:1104,1104
NEWA,https://soundcloud.com/newa,soundcloud://users:3157863,3157863
COSMO,https://soundcloud.com/cozzygrl,soundcloud://users:94214724,94214724
CLARISA KIMSKII,https://soundcloud.com/kimskii,soundcloud://users:564231,564231
MADISON MOORE,https://soundcloud.com/madison-alexander-moore,soundcloud://users:32012034,32012034
KILOPATRAH JONES,https://soundcloud.com/kilopatrah-jones,soundcloud://users:166834786,166834786
JULIANA HUXTABLE,https://soundcloud.com/julianahuxtable,soundcloud://users:2936767,2936767
IAN CRANE,https://soundcloud.com/the_icrane,soundcloud://users:260876118,260876118
DEVOYE,https://soundcloud.com/devoye,soundcloud://users:7220962,7220962
DAIYAH,https://soundcloud.com/daiyahwilliams,soundcloud://users:28577656,28577656
ANCIENT METHODS,https://soundcloud.com/ancient-methods,soundcloud://users:10889,10889
ANA B,https://soundcloud.com/anabnyc,soundcloud://users:51370925,51370925
XIORRO,https://soundcloud.com/xiorro,soundcloud://users:270398833,270398833
WTCHCRFT,https://soundcloud.com/wtchcrft2,soundcloud://users:19366939,19366939
PHASE FATALE,https://soundcloud.com/phasefatale,soundcloud://users:78891253,78891253
D.DAN,https://soundcloud.com/ddan-sounds,soundcloud://users:148052084,148052084
ANTHONY PARASOLE,https://soundcloud.com/anthonyparasole,soundcloud://users:314457719,314457719
ANNIE LEW,https://soundcloud.com/annieelew,soundcloud://users:183193965,183193965
®ON,https://soundcloud.com/aaaeeeooonnnnn,soundcloud://users:947961526,947961526
VERONICA VASICKA,https://soundcloud.com/minimalwave,soundcloud://users:1763818,1763818
PERC,https://soundcloud.com/perc,soundcloud://users:33658,33658
FIEDEL,https://soundcloud.com/fiedelone,soundcloud://users:45739180,45739180
COTTON,,,
ANTENES,https://soundcloud.com/antenes,soundcloud://users:21268721,21268721
STERLING JUAN DIAZ,https://soundcloud.com/sterlingjuandiaz,soundcloud://users:7156719,7156719
MASSIMILIANO PAGLIARA,https://soundcloud.com/massimilianopagliara,soundcloud://users:580306,580306
JADALAREIGN,https://soundcloud.com/jadalareign,soundcloud://users:50994533,50994533
SISTER ZO,https://soundcloud.com/sisterzo,soundcloud://users:118078977,118078977
MEILGAARDEN,https://soundcloud.com/meilgaarden,soundcloud://users:51551816,51551816
MANU MIRAN,https://soundcloud.com/manumiran,soundcloud://users:26680463,26680463
KIM ANH,https://soundcloud.com/kim_anh,soundcloud://users:617465,617465
KEVIN AVIANCE,,,
ROI PEREZ,https://soundcloud.com/roi_perez,soundcloud://users:3012173,3012173
NATUTA,https://soundcloud.com/natuta-bagrationi,soundcloud://users:8818322,8818322
MUTUALISM,https://soundcloud.com/mutualism_music,soundcloud://users:10430082,10430082
MAKADSI,https://soundcloud.com/makadsi,soundcloud://users:686736254,686736254
LAUREN FLAX,https://soundcloud.com/laurenflax,soundcloud://users:14295,14295
JACOB MEEHAN,https://soundcloud.com/jacob-meehan,soundcloud://users:6980247,6980247
ELI ESCOBAR,https://soundcloud.com/eliescobar,soundcloud://users:961363,961363
DJ SALIVA,https://soundcloud.com/djjsaliva,soundcloud://users:455336625,455336625
CHRIS CRUSE,https://soundcloud.com/chriscruse,soundcloud://users:38528,38528
